"Date","Price","Open","High","Low","Change %"
"Oct 26, 2017","5,890.00","5,724.20","5,966.60","5,680.50","2.97"
"Oct 25, 2017","5,720.00","5,509.90","5,743.90","5,367.90","3.82"
"Oct 24, 2017","5,509.50","5,902.50","5,902.50","5,457.50","-6.73"
"Oct 23, 2017","5,906.90","5,980.50","6,051.00","5,639.80","-1.23"
"Oct 22, 2017","5,980.50","6,005.10","6,069.60","5,717.90","-0.41"
"Oct 21, 2017","6,005.10","5,984.90","6,190.00","5,873.60","0.34"
"Oct 20, 2017","5,984.50","5,694.00","6,082.20","5,606.40","5.10"
"Oct 19, 2017","5,694.00","5,574.80","5,741.00","5,505.80","2.32"
"Oct 18, 2017","5,565.00","5,597.70","5,597.90","5,114.30","-0.57"
"Oct 17, 2017","5,597.10","5,764.80","5,779.00","5,511.00","-2.90"
"Oct 16, 2017","5,764.40","5,712.20","5,803.20","5,570.40","1.15"
"Oct 15, 2017","5,698.60","5,838.70","5,876.90","5,450.00","-2.34"
"Oct 14, 2017","5,835.00","5,636.80","5,854.30","5,567.30","3.52"
"Oct 13, 2017","5,636.80","5,440.00","5,874.30","5,376.00","3.84"
"Oct 12, 2017","5,428.50","4,824.90","5,437.60","4,815.10","12.51"
"Oct 11, 2017","4,824.90","4,777.70","4,879.50","4,715.00","1.00"
"Oct 10, 2017","4,777.00","4,782.30","4,940.00","4,717.50","-0.11"
"Oct 09, 2017","4,782.30","4,612.40","4,874.90","4,551.30","3.67"
"Oct 08, 2017","4,613.10","4,435.90","4,630.00","4,417.60","3.99"
"Oct 07, 2017","4,436.00","4,370.00","4,477.10","4,316.10","1.49"
"Oct 06, 2017","4,371.00","4,312.60","4,424.50","4,294.00","1.29"
"Oct 05, 2017","4,315.40","4,215.90","4,364.60","4,134.90","2.38"
"Oct 04, 2017","4,215.10","4,310.60","4,353.80","4,177.70","-2.23"
"Oct 03, 2017","4,311.10","4,399.30","4,439.90","4,222.00","-2.02"
"Oct 02, 2017","4,400.10","4,404.30","4,482.00","4,359.80","-0.10"
"Oct 01, 2017","4,404.30","4,366.60","4,420.50","4,257.70","0.85"
"Sep 30, 2017","4,367.00","4,168.10","4,393.40","4,160.10","4.73"
"Sep 29, 2017","4,169.90","4,190.00","4,244.60","4,024.70","-0.48"
"Sep 28, 2017","4,190.00","4,207.50","4,268.60","4,125.00","-0.37"
"Sep 27, 2017","4,205.40","3,881.60","4,226.50","3,878.10","8.41"
"Sep 26, 2017","3,879.10","3,930.00","3,983.00","3,850.90","-1.30"
"Sep 25, 2017","3,930.00","3,654.70","3,977.00","3,654.70","7.59"
"Sep 24, 2017","3,652.80","3,779.60","3,781.30","3,620.00","-3.35"
"Sep 23, 2017","3,779.60","3,598.70","3,808.00","3,559.10","5.03"
